X,Y,FID,GmlID,SCHULNAME,SCHULART,TRAEGER,ZWEIG_01,ZWEIG_02,ZWEIG_03,ZWEIG_04,BEZIRK,ORTSTEIL,F_PLZ,ADRESSE,TELEFON,F_FAX,F_EMAIL,INTERNET,LEITUNG
1508301.6258,6903699.7562,37,s_schulen.11Y09,Barnim-Oberschule,Gymnasium,Bezirk,Gymnasien,,,,Lichtenberg,Falkenberg,13057,Ahrensfelder Chaussee 41,9366690,93666926,"<a href=""mailto:barnim-gym@t-online.de"">barnim-gym@t-online.de</a>","<A HREF=""http://www.barnim-gym.de"" TARGET=""Schulen"">zur Website</a>",Detlef Schmidt-Ihnen
1512779.2178,6899638.7108,38,s_schulen.10G17,Beatrix-Potter-Grundschule,Grundschule,Bezirk,Grundschule,,,,Marzahn-Hellersdorf,Hellersdorf,12629,Ludwigsfelder Str. 7,9939018,99285192,"<a href=""mailto:beatrix-potter-schule-sekr@web.de"">beatrix-potter-schule-sekr@web.de</a>","<A HREF=""http://www.beatrix-potter-grundschule.cidsnet"" TARGET=""Schulen"">zur Website</a>",Roswitha Lingnau
1485248.5897,6878719.8265,39,s_schulen.06Y06,Beethoven-Oberschule,Gymnasium,Bezirk,Gymnasien,,,,Steglitz-Zehlendorf,Lankwitz,12249,Barbarastr. 9,76890530,76890541,"<a href=""mailto:Leitung@beethoven-oberschule.de"">Leitung@beethoven-oberschule.de</a>","<A HREF=""http://www.beethoven-oberschule.de"" TARGET=""Schulen"">zur Website</a>",Dr. Gunilla Neukirchen
1480670.6613,6905951.9427,40,s_schulen.12K06,Benjamin-Franklin-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Reinickendorf,Wittenau,13509,Sommerfelder Str. 5-7,43983810,439838181,"<a href=""mailto:Schule@franklin.cidsnet.de"">Schule@franklin.cidsnet.de</a>","<A HREF=""http://www.franklin.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Reinhardt Schwebke
1484324.9079,6895921.6747,41,s_schulen.01A04,Berlin-Kolleg,Berlin-Kolleg,Bezirk,Berlin-Kolleg,,,,Mitte,Moabit,10551,Turmstr. 75,901838210,901838222,"<a href=""mailto:leitung@berlin-kolleg.de"">leitung@berlin-kolleg.de</a>","<A HREF=""http://www.berlin-kolleg.de"" TARGET=""Schulen"">zur Website</a>",Angelika Weiß
1473060.8313,6899184.8406,42,s_schulen.05G13,Bernd-Ryke-Grundschule,Grundschule,Bezirk,Grundschule,,,,Spandau,Haselhorst,13599,Daumstr. 12,3548050,35480521,"<a href=""mailto:info@bernd-ryke-gs.de"">info@bernd-ryke-gs.de</a>","<A HREF=""http://www.bernd-ryke-gs.de"" TARGET=""Schulen"">zur Website</a>",Detlef Wandt
1504155.6122,6890251.3865,43,s_schulen.11G11,Bernhard-Grzimek-Grundschule,Grundschule,Bezirk,Grundschule,,,,Lichtenberg,Friedrichsfelde,10319,Sewanstr. 184,5120097,50018411,"<a href=""mailto:grzimek_schule@t-online.de"">grzimek_schule@t-online.de</a>","<A HREF=""http://www.grzimek.schule-berlin.net"" TARGET=""Schulen"">zur Website</a>",Marielle Rosemeyer
1495081.97,6893893.2202,44,s_schulen.02S04,Bernhard-Rose-Schule,Übrige Förderschwerp.,Bezirk,Übrige Förderschwerpunkte,Grundschule,,,Friedrichshain-Kreuzberg,Friedrichshain,10243,Singerstr. 87,246568211,246568215,"<a href=""mailto:info@bernhard-rose-schule.de"">info@bernhard-rose-schule.de</a>","<A HREF=""http://www.bernhard-rose-schule.de"" TARGET=""Schulen"">zur Website</a>",Stephanie Ahl
1468674.0014,6895691.319,45,s_schulen.05K03,Bertolt-Brecht-Oberschule (Integrierte Sekundarschule),Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Spandau,Wilhelmstadt,13595,Wilhelmstr. 10,3308990,33089966,"<a href=""mailto:schulleitung@brecht-oberschule.de"">schulleitung@brecht-oberschule.de</a>","<A HREF=""http://www.brecht-oberschule.de"" TARGET=""Schulen"">zur Website</a>",Burkhard Möller
1486875.2523,6910269.6096,46,s_schulen.12K02,Bettina-von-Arnim-Schule,Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Reinickendorf,Märkisches Viertel,13435,Senftenberger Ring 49,403050,40305199,"<a href=""mailto:bva-mail@bettina.cidsnet.de"">bva-mail@bettina.cidsnet.de</a>","<A HREF=""http://www.bettina.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Ralf Heitmann
1477191.1359,6882680.545,47,s_schulen.06S02,Biesalski-Schule,Förderschwerp. einschl. beruflichem Teil,BWF,Berufsschule mit sonderpäd. Aufgaben,Übrige Förderschwerpunkte,Grundschule,,Steglitz-Zehlendorf,Dahlem,14195,Hüttenweg 40,902996474,902998020,"<a href=""mailto:Biesalski-Schule@t-online.de"">Biesalski-Schule@t-online.de</a>","<A HREF=""http://www.Biesalski-Schule.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Christina Nagel
1482991.8854,6887477.2517,48,s_schulen.04G26,Birger-Forell-Grundschule,Grundschule,Bezirk,Grundschule,,,,Charlottenburg-Wilmersdorf,Wilmersdorf,10715,Koblenzer Str. 22-24,8577180,85771877,"<a href=""mailto:birgerforell@yahoo.de"">birgerforell@yahoo.de</a>","<A HREF=""http://www.birger-forell-grundschule.de"" TARGET=""Schulen"">zur Website</a>",Monika Blau
1469201.6677,6899925.102,49,s_schulen.05G03,Birken-Grundschule,Grundschule,Bezirk,Grundschule,,,,Spandau,Spandau,13585,Hügelschanze 8-9,30832280,308322810,"<a href=""mailto:Birken-Schule@arcor.de"">Birken-Schule@arcor.de</a>","<A HREF=""http://www.birken-grundschule.de"" TARGET=""Schulen"">zur Website</a>",N.N.
1495275.1316,6894078.5183,50,s_schulen.02G05,Blumen-Grundschule,Grundschule,Bezirk,Grundschule,,,,Friedrichshain-Kreuzberg,Friedrichshain,10243,Andreasstr. 50-52,3198702911,3198702915,"<a href=""mailto:buero@blumen-grundschule.de"">buero@blumen-grundschule.de</a>","<A HREF=""http://www.blumen-grundschule.de"" TARGET=""Schulen"">zur Website</a>",Karin Laurenz
1492541.09,6901218.1249,51,s_schulen.03G14,Bornholmer Grundschule,Grundschule,Bezirk,Grundschule,,,,Pankow,Prenzlauer Berg,10439,Ibsenstr. 17,4458763,44719469,"<a href=""mailto:bornholmer14@t-online.de"">bornholmer14@t-online.de</a>","<A HREF=""http://www.bornholmer-gs.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Jochen Fuchs
1481112.2025,6907147.4459,52,s_schulen.12G12,Borsigwalder Grundschule,Grundschule,Bezirk,Grundschule,,,,Reinickendorf,Wittenau,13509,Miraustr. 100,4322051,43553587,"<a href=""mailto:sekretariat@borsigwaldergs.de"">sekretariat@borsigwaldergs.de</a>","<A HREF=""http://borsigwaldergs.de"" TARGET=""Schulen"">zur Website</a>",Rosemarie Hübner
1497529.0414,6889800.8736,53,s_schulen.09G01,Bouch‚-Schule (Grundschule),Grundschule,Bezirk,Grundschule,,,,Treptow-Köpenick,Alt-Treptow,12435,Bouchestr. 5-10,5337745,5337476,"<a href=""mailto:bouche33@t-online.de"">bouche33@t-online.de</a>","<A HREF=""http://www.bouche-grundschule.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Dr. Tilo Rosenkranz
1502901.9286,6897872.1187,54,s_schulen.11G17,Brodowin-Grundschule,Grundschule,Bezirk,Grundschule,,,,Lichtenberg,Alt-Hohenschönhausen,13055,Liebenwalder Str. 22,9864058,98317794,"<a href=""mailto:brodowinschule@t-online.de"">brodowinschule@t-online.de</a>","<A HREF=""http://www.brodowinschule.de"" TARGET=""Schulen"">zur Website</a>",Ralph Kaiser
1485645.2819,6877972.2237,55,s_schulen.06K04,Bröndby-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Steglitz-Zehlendorf,Lankwitz,12249,Dessauerstr. 63,902992010,902992393,"<a href=""mailto:post@broendby-oberschule.de"">post@broendby-oberschule.de</a>","<A HREF=""http://www.broendby-oberschule.de"" TARGET=""Schulen"">zur Website</a>",Angela Tour‚
1486984.5559,6898602.0042,56,s_schulen.01G28,Brüder-Grimm-Grundschule,Grundschule,Bezirk,Grundschule,,,,Mitte,Wedding,13353,Tegeler Str. 18-19,4530840,45308415,"<a href=""mailto:bggs-berlin@web.de"">bggs-berlin@web.de</a>","<A HREF=""http://brueder-grimm.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",komm. Klaus Pohl
1509719.7613,6901722.7317,57,s_schulen.10G06,Bruno-Bettelheim-Grundschule (Gemeinschaftsschule),Grundschule,Bezirk,Grundschule,,,,Marzahn-Hellersdorf,Marzahn,12687,Schleusinger Str. 17,9321102,9321181,"<a href=""mailto:bruno10g06@gmx.de"">bruno10g06@gmx.de</a>","<A HREF=""http://www.bruno-bettelheim-grundschule.cidsn"" TARGET=""Schulen"">zur Website</a>",Heike Schiller
1491959.3443,6873673.1774,58,s_schulen.07G32,Bruno-H.-Bürgel-Grundschule,Grundschule,Bezirk,Grundschule,,,,Tempelhof-Schöneberg,Lichtenrade,12305,Rackebüller Weg 70,902778250,902778251,"<a href=""mailto:sekretariat@bhb.schulen-ts.de"">sekretariat@bhb.schulen-ts.de</a>","<A HREF=""http://www.bruno-h-buergel.schule-berlin.net"" TARGET=""Schulen"">zur Website</a>",Ingrid Lienke
1497125.2217,6880252.4948,59,s_schulen.08G13,Bruno-Taut-Schule (Grundschule),Grundschule,Bezirk,Grundschule,,,,Neukölln,Britz,12359,Bruno-Taut-Ring 9C,60972490,60972496,"<a href=""mailto:Berlin_08G13@versanet.de"">Berlin_08G13@versanet.de</a>","<A HREF=""http://www.bruno-taut.de"" TARGET=""Schulen"">zur Website</a>",Julius Wamos
1466523.4358,6899565.5434,60,s_schulen.05K05,B.-Traven-Oberschule (Gemeinschaftsschule),Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Spandau,Falkenhagener Feld,13583,Recklinghauser Weg 26-32,3758650,375865226,"<a href=""mailto:b-traven-os@t-online.de"">b-traven-os@t-online.de</a>","<A HREF=""http://www.b-traven-os.de"" TARGET=""Schulen"">zur Website</a>",Arno de Vries
1517187.1147,6898482.241,61,s_schulen.10G19,Bücherwurm-Schule am Weiher (Grundschule),Grundschule,Bezirk,Grundschule,,,,Marzahn-Hellersdorf,Hellersdorf,12627,Eilenburger Str. 1,9918148,99283512,"<a href=""mailto:buecherwurm-grundschule@t-online.de"">buecherwurm-grundschule@t-online.de</a>","<A HREF=""http://www.buecherwurm-grundschule.de"" TARGET=""Schulen"">zur Website</a>",Egbert Erdmann
1492257.5027,6890118.9545,62,s_schulen.02G20,Bürgermeister-Herz-Grundschule,Grundschule,Bezirk,Grundschule,,,,Friedrichshain-Kreuzberg,Kreuzberg,10961,Wilmsstr. 10,902986411,902983163,"<a href=""mailto:verwaltung@b-herz-grundschule.de"">verwaltung@b-herz-grundschule.de</a>","<A HREF=""http://www.bmh-schule.de"" TARGET=""Schulen"">zur Website</a>",Christiane Wuntke
1504670.7343,6892535.9838,63,s_schulen.11G09,Bürgermeister-Ziethen-Grundschule,Grundschule,Bezirk,Grundschule,,,,Lichtenberg,Friedrichsfelde,10315,Massower Str. 39,5251434,51062830,"<a href=""mailto:ziethen-g@t-online.de"">ziethen-g@t-online.de</a>","<A HREF=""http://www.ziethen-g.cidsnet.de"" TARGET=""Schulen"">zur Website</a>",Frank Baum
1480438.0544,6912199.8271,64,s_schulen.12K09,Carl-Benz-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,,,,Reinickendorf,Hermsdorf,13467,Heidenheimer Str. 53-54,4046097,4046098,"<a href=""mailto:sek@cbo.cidsnet.de"">sek@cbo.cidsnet.de</a>","<A HREF=""http://www.cbo.de.vu"" TARGET=""Schulen"">zur Website</a>",Karl-Heinz Kuhne
1484140.4595,6896306.1902,65,s_schulen.01G18,Carl-Bolle-Grundschule,Grundschule,Bezirk,Grundschule,,,,Mitte,Moabit,10551,Waldenserstr. 21,397457810,397457811,"<a href=""mailto:info@carl-bolle.cidsnet.de"">info@carl-bolle.cidsnet.de</a>","<A HREF=""http://www.carl-bolle.cidsnet.de/"" TARGET=""Schulen"">zur Website</a>",Cordula Stobernack
